TubeNumber,Trt,Rep,Sample,CoverCrop,Variety,WCR,DateGerm,DateWCR,DateSample,Type,Mass,VolumeMethanol,ExtractionNotes,DateGround,DateMethanol
1,A,3,A03,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,107.4,322,,9/11/2023,9/11/2023
2,A,4,A04,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,111,333,,9/11/2023,9/11/2023
3,B,3,B03,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,95.8,287,,9/11/2023,9/11/2023
4,B,4,B04,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,96.8,290,,9/11/2023,9/11/2023
5,C,3,C03,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,106.5,320,,9/11/2023,9/11/2023
6,C,4,C04,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,101,303,,9/11/2023,9/11/2023
7,D,3,D03,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,97,291,,9/11/2023,9/11/2023
8,D,4,D04,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,92.4,277,,9/11/2023,9/11/2023
9,E,3,E03,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,107.1,321,,9/11/2023,9/11/2023
10,E,4,E04,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,102.4,307,,9/11/2023,9/11/2023
11,A,3,A03,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,107.2,322,,9/11/2023,9/11/2023
12,A,4,A04,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,96.8,290,,9/11/2023,9/11/2023
13,B,3,B03,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,94.8,284,,9/11/2023,9/11/2023
14,B,4,B04,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.8,302,,9/11/2023,9/11/2023
15,C,3,C03,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,90.8,272,,9/11/2023,9/11/2023
16,C,4,C04,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,94.5,284,,9/11/2023,9/11/2023
17,D,3,D03,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,95.6,287,,9/11/2023,9/11/2023
18,D,4,D04,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,97.7,293,,9/11/2023,9/11/2023
19,E,3,E03,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,93.5,281,,9/11/2023,9/11/2023
20,E,4,E04,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.8,302,,9/11/2023,9/11/2023
21,F,3,F03,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,91.2,274,,9/11/2023,9/11/2023
22,F,4,F04,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,103.1,309,,9/11/2023,9/11/2023
23,G,3,G03,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,109.3,328,,9/11/2023,9/11/2023
24,G,4,G04,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,111.1,333,,9/11/2023,9/11/2023
25,H,3,H03,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,94.6,284,,9/11/2023,9/11/2023
26,H,4,H04,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,96.3,289,,9/11/2023,9/11/2023
27,I,3,I03,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,102,306,,9/11/2023,9/11/2023
28,I,4,I04,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,93,279,,9/11/2023,9/11/2023
29,J,3,J03,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,102.1,306,,9/11/2023,9/11/2023
30,J,4,J04,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,102.1,306,,9/11/2023,9/11/2023
31,F,3,F03,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,107.5,323,,9/11/2023,9/11/2023
32,F,4,F04,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,116,348,,9/11/2023,9/11/2023
33,G,3,G03,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,94.6,284,,9/11/2023,9/11/2023
34,G,4,G04,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,111.8,335,,9/11/2023,9/11/2023
35,H,3,H03,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,100,300,,9/11/2023,9/11/2023
36,H,4,H04,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,98.5,296,,9/11/2023,9/11/2023
37,I,3,I03,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,108.2,325,,9/11/2023,9/11/2023
38,I,4,I04,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,105.7,317,,9/11/2023,9/11/2023
39,J,3,J03,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,97.3,292,,9/11/2023,9/11/2023
40,J,4,J04,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,91.7,275,,9/11/2023,9/11/2023
41,A,5,A05,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,108.1,324,,9/11/2023,9/12/2023
42,A,6,A06,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,101.8,305,,9/11/2023,9/12/2023
43,B,5,B05,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,101.4,304,,9/11/2023,9/12/2023
44,B,6,B06,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,119.5,359,,9/11/2023,9/12/2023
45,C,5,C05,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,96.8,290,,9/11/2023,9/12/2023
46,C,6,C06,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,108.9,327,,9/11/2023,9/12/2023
47,D,5,D05,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,103.8,311,,9/11/2023,9/12/2023
48,D,6,D06,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,97.4,292,,9/11/2023,9/12/2023
49,E,5,E05,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,113.7,341,,9/11/2023,9/12/2023
50,E,6,E06,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,98.9,297,,9/11/2023,9/12/2023
51,A,5,A05,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,103.8,311,,9/11/2023,9/12/2023
52,A,6,A06,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,93,279,,9/11/2023,9/12/2023
