Filename,DIMBOA,DIMBOA-Glc,DIBOA,HDBOA-Glc,HDMBOA-Glc,InternalStandard
1,320403.6448,333534.4559,12489.34011,13036213.51,1219729.572,71337723.43
2,461935.3823,465450.5154,233066.2181,11408935.24,321171.3654,51682770.92
3,2756764.799,2124448.371,268809.68,27207648.73,532003.2551,67807462.76
4,1101720.489,652191.0493,4373.649267,2766643.666,523310.8145,50226057.55
5,11508.98806,1462831.584,8726.640234,13041912.93,225322.7007,58295559.98
6,1212529.526,712177.756,5645.098944,6962210.146,624404.7557,56586138.77
7,2318679.456,1551754.441,49450.50525,28678176.83,605864.0785,59039183.16
8,1288912.827,778203.7401,28691.19034,17224941.98,338232.0024,56715675.83
9,3562657.35,1541467.638,5473.703774,29722500.62,1659278.426,55676375.52
10,7312427.223,2293017.398,43097.03428,34937033.24,366843.7584,54064837.7
11,3334193.684,2723860.482,10247.98359,60164197.16,160744245.8,56060574.55
12,4412770.545,5500492.524,23905.18529,181291457.4,181213276.5,59323225.21
13,45802923.57,29298018.93,191920.3287,66707219.75,126705274.4,56054641.05
14,6083137.295,4657237.355,29182.11432,137459320.3,149084030.6,53553243.71
15,7632732.339,5654303.132,59788.12855,91602163.31,114035127.2,55031257.8
16,27681703.35,8680398.601,1643.176143,68187935.78,86706591.78,57308397.96
17,121262037.3,32126569.71,303272.7404,125705662.7,154296733.3,52173383.01
18,72531564.13,18273910.9,105888.4668,84795053.62,107874431.5,55071975.16
19,345277163.8,73372885.6,176852.4282,89961823.54,109022620.6,54523737.26
20,34189227.96,8994835.188,93064.51595,122737445.2,132767273.1,52623119.8
control2,31550357.62,12078590.17,23694.00939,119483888.6,94103668.67,38577606.05
21,5749713.278,4340239.714,3570.007716,87335632.46,20119398.03,53165011.91
22,4604365.329,3738944.306,594346.374,51090250.64,5161499.463,52348864.31
23,2294769.825,1690670.23,3753.972359,20816438.51,2738530.793,53954550.08
24,80355.57579,2881466.127,8041.906065,73622277.18,10548456.23,51612402.84
25,120041.8943,469183.3577,37445.18636,40191716.83,7212712.951,51379865.76
26,40958.45485,597100.7388,13845.27726,19401735.92,5401581.957,50820368.24
27,8204743.582,5299983.493,20424.50477,50225884.4,2717138.949,52458692.77
28,23507.94062,2769087.203,447333.0842,39632451.95,1380467.874,51878657.12
29,6682469.963,4592185.078,269885.2527,53849234.13,7158477.786,50954096.29
30,3236754.55,1007122.267,8983.422086,39017343.77,7228759.43,48657288.69
31,286671682.7,119098059.7,161991.548,260119272.3,217860930,51140253.76
32,15566261.8,9996156.655,12274.29386,236423173.1,171232380.3,51227412.63
33,1387342.214,21393703.6,4588.250201,226692199.3,242445612,55177217.88
34,166071631.2,37262970.26,313562.6494,42579203.38,101407722.4,54292583.46
35,1423197.82,27758326.27,17763.37354,121380422.3,161170474.2,53271773.37
36,39411921.67,22380863.87,43161.9382,222039436.9,200299233.2,49455876.34
37,51589250.86,25313639.86,9312.857092,109433924.7,111875533.3,54739882.5
38,17487561.62,10463982.94,4140.314413,232198104.2,162867380.9,51962971.76
39,166898733.7,34403311.07,157568.4239,114486391.3,136167703.4,52532680.62
40,15538540.84,8591541.015,28785.94065,192955417.8,129357953.4,50752693.8
41,893615.132,585303.3586,15622.71491,10168485.76,396061.9812,51096241.13
42,514675.0949,350636.4337,36973.54821,3309645.405,833526.6235,44020384.81
43,803751.3958,280652.9443,19177.78353,11246792.61,536970.6872,47130464.77
44,181180.7145,16699.74452,5011.815558,17654624.13,1151816.308,52261216.75
45,327318.1974,237281.153,265797.0489,4423606.745,172688.5817,51099400.41
46,466385.1195,393649.0051,4483.430486,4857724.53,746042.029,45872412.89
47,2060778.938,892238.458,332855.0857,12853882.81,490972.0358,48452158.97
48,31941.1657,460022.7936,7106.66672,13479762.9,342731.7167,51331531.46
49,1832614.567,597995.0897,17007.29818,34543189.41,4407880.969,47428231.45
50,756517.6925,239310.3094,19168.16279,18851499.02,1179245.695,50014015.41
